"","GeneSymbol","LevelOfConfidence"
"1","ACTA1","HighEvidence"
"2","BIN1","HighEvidence"
"3","CACNA1S","HighEvidence"
"4","CFL2","HighEvidence"
"5","COL12A1","HighEvidence"
"6","COL6A1","HighEvidence"
"7","COL6A2","HighEvidence"
"8","COL6A3","HighEvidence"
"9","DNM2","HighEvidence"
"10","EPG5","HighEvidence"
"11","FKBP14","HighEvidence"
"12","KBTBD13","HighEvidence"
"13","KLHL40","HighEvidence"
"14","KLHL41","HighEvidence"
"15","LMNA","HighEvidence"
"16","LMOD3","HighEvidence"
"17","MAP3K20*","HighEvidence"
"18","MEGF10","HighEvidence"
"19","MICU1","HighEvidence"
"20","MTM1","HighEvidence"
"21","MYH2","HighEvidence"
"22","MYH3","HighEvidence"
"23","MYH7","HighEvidence"
"24","MYH8","HighEvidence"
"25","MYO18B","HighEvidence"
"26","NEB","HighEvidence"
"27","ORAI1","HighEvidence"
"28","RYR1","HighEvidence"
"29","SCN4A","HighEvidence"
"30","SEPN1","HighEvidence"
"31","SLC25A4","HighEvidence"
"32","SPEG","HighEvidence"
"33","STAC3","HighEvidence"
"34","STIM1","HighEvidence"
"35","TNNT1","HighEvidence"
"36","TPM2","HighEvidence"
"37","TPM3","HighEvidence"
"38","TTN","HighEvidence"
"39","VMA21","HighEvidence"
"40","CASQ1","ModerateEvidence"
"41","CCDC78","ModerateEvidence"
"42","CNTN1","ModerateEvidence"
"43","HACD1","ModerateEvidence"
"44","KY","ModerateEvidence"
"45","LAMP2","ModerateEvidence"
"46","MTMR14","ModerateEvidence"
"47","MYBPC3","ModerateEvidence"
"48","MYL1","ModerateEvidence"
"49","MYPN","ModerateEvidence"
"50","NEFL","ModerateEvidence"
"51","VPS33B","ModerateEvidence"
"52","ATP2A1","LowEvidence"
"53","BAG3","LowEvidence"
"54","CAV3","LowEvidence"
"55","CHCHD10","LowEvidence"
"56","COL9A3","LowEvidence"
"57","CPT2","LowEvidence"
"58","CRYAB","LowEvidence"
"59","DES","LowEvidence"
"60","DMPK","LowEvidence"
"61","DNAJB6","LowEvidence"
"62","DYSF","LowEvidence"
"63","ECEL1","LowEvidence"
"64","FAM111B","LowEvidence"
"65","FLNC","LowEvidence"
"66","GFER","LowEvidence"
"67","GNE","LowEvidence"
"68","HNRNPA1","LowEvidence"
"69","HRAS","LowEvidence"
"70","ISCU","LowEvidence"
"71","LDB3","LowEvidence"
"72","MATR3","LowEvidence"
"73","MT-TL1","LowEvidence"
"74","MYBPC1","LowEvidence"
"75","MYF6","LowEvidence"
"76","MYH14","LowEvidence"
"77","MYOT","LowEvidence"
"78","PIEZO2","LowEvidence"
"79","PNPLA2","LowEvidence"
"80","PUS1","LowEvidence"
"81","RBCK1","LowEvidence"
"82","SLC25A42","LowEvidence"
"83","STIM2","LowEvidence"
"84","TIA1","LowEvidence"
"85","TNNI2","LowEvidence"
"86","TNNT3","LowEvidence"
"87","VCP","LowEvidence"
"88","YARS2","LowEvidence"
