"","GeneSymbol","LevelOfConfidence"
"1","AAAS","HighEvidence"
"2","ABCB7","HighEvidence"
"3","ABHD12","HighEvidence"
"4","ADCK3","HighEvidence"
"5","AFG3L2","HighEvidence"
"6","AMPD2","HighEvidence"
"7","ANO10","HighEvidence"
"8","AP1S2","HighEvidence"
"9","APTX","HighEvidence"
"10","ARSA","HighEvidence"
"11","ATCAY","HighEvidence"
"12","ATM","HighEvidence"
"13","ATP1A3","HighEvidence"
"14","C10orf2","HighEvidence"
"15","CA8","HighEvidence"
"16","CACNA1A","HighEvidence"
"17","CACNA1G","HighEvidence"
"18","CAMTA1","HighEvidence"
"19","CASK","HighEvidence"
"20","CHMP1A","HighEvidence"
"21","CLN6","HighEvidence"
"22","COX20","HighEvidence"
"23","CP","HighEvidence"
"24","CWF19L1","HighEvidence"
"25","CYP27A1","HighEvidence"
"26","CYP2U1","HighEvidence"
"27","DARS2","HighEvidence"
"28","DDHD2","HighEvidence"
"29","DNAJC5","HighEvidence"
"30","DNMT1","HighEvidence"
"31","EIF2B1","HighEvidence"
"32","EIF2B2","HighEvidence"
"33","EIF2B3","HighEvidence"
"34","EIF2B4","HighEvidence"
"35","EIF2B5","HighEvidence"
"36","EPM2A","HighEvidence"
"37","EXOSC3","HighEvidence"
"38","FGF14","HighEvidence"
"39","FLVCR1","HighEvidence"
"40","FMR1","HighEvidence"
"41","FOLR1","HighEvidence"
"42","FXN","HighEvidence"
"43","GBA2","HighEvidence"
"44","GFAP","HighEvidence"
"45","GJC2","HighEvidence"
"46","GOSR2","HighEvidence"
"47","GRID2","HighEvidence"
"48","GRM1","HighEvidence"
"49","HEXA","HighEvidence"
"50","HEXB","HighEvidence"
"51","ITPR1","HighEvidence"
"52","KCNA1","HighEvidence"
"53","KCNC3","HighEvidence"
"54","KCND3","HighEvidence"
"55","KCNJ10","HighEvidence"
"56","KIF1C","HighEvidence"
"57","MARS2","HighEvidence"
"58","MMACHC","HighEvidence"
"59","MRE11A","HighEvidence"
"60","MT-ATP6","HighEvidence"
"61","NHLRC1","HighEvidence"
"62","NPC1","HighEvidence"
"63","NPC2","HighEvidence"
"64","OPHN1","HighEvidence"
"65","PAX6","HighEvidence"
"66","PDYN","HighEvidence"
"67","PEX16","HighEvidence"
"68","PLA2G6","HighEvidence"
"69","PMPCA","HighEvidence"
"70","PNKP","HighEvidence"
"71","PNPLA6","HighEvidence"
"72","POLG","HighEvidence"
"73","POLR3A","HighEvidence"
"74","PRKCG","HighEvidence"
"75","PRNP","HighEvidence"
"76","PRRT2","HighEvidence"
"77","RARS2","HighEvidence"
"78","RNF170","HighEvidence"
"79","RNF216","HighEvidence"
"80","SACS","HighEvidence"
"81","SAR1B","HighEvidence"
"82","SEPSECS","HighEvidence"
"83","SETX","HighEvidence"
"84","SIL1","HighEvidence"
"85","SLC1A3","HighEvidence"
"86","SLC2A1","HighEvidence"
"87","SLC9A6","HighEvidence"
"88","SNX14","HighEvidence"
"89","SPG7","HighEvidence"
"90","SPTBN2","HighEvidence"
"91","SRD5A3","HighEvidence"
"92","STUB1","HighEvidence"
"93","SYNE1","HighEvidence"
"94","TGM6","HighEvidence"
"95","TMEM240","HighEvidence"
"96","TPP1","HighEvidence"
"97","TSEN2","HighEvidence"
"98","TSEN54","HighEvidence"
"99","TTBK2","HighEvidence"
"100","TTC19","HighEvidence"
"101","TTPA","HighEvidence"
"102","TUBB4A","HighEvidence"
"103","VAMP1","HighEvidence"
"104","VLDLR","HighEvidence"
"105","VRK1","HighEvidence"
"106","WDR73","HighEvidence"
"107","WDR81","HighEvidence"
"108","WFS1","HighEvidence"
"109","WWOX","HighEvidence"
"110","AARS","LowEvidence"
"111","ALAS2","LowEvidence"
"112","ATN1","LowEvidence"
"113","ATP2B3","LowEvidence"
"114","ATP8A2","LowEvidence"
"115","ATXN1","LowEvidence"
"116","ATXN10","LowEvidence"
"117","ATXN2","LowEvidence"
"118","ATXN3","LowEvidence"
"119","ATXN7","LowEvidence"
"120","CACNB4","LowEvidence"
"121","CCDC88C","LowEvidence"
"122","CLP1","LowEvidence"
"123","DYNC1H1","LowEvidence"
"124","ELOVL5","LowEvidence"
"125","KIAA0226","LowEvidence"
"126","MTPAP","LowEvidence"
"127","NAGLU","LowEvidence"
"128","NOP56","LowEvidence"
"129","PAX2","LowEvidence"
"130","PCLO","LowEvidence"
"131","PIK3R5","LowEvidence"
"132","PPP2R2B","LowEvidence"
"133","PRICKLE1","LowEvidence"
"134","RELN","LowEvidence"
"135","SCN8A","LowEvidence"
"136","SYT14","LowEvidence"
"137","TBP","LowEvidence"
"138","TDP1","LowEvidence"
"139","TSEN34","LowEvidence"
"140","UBR4","LowEvidence"
"141","UCHL1","LowEvidence"
"142","VPS53","LowEvidence"
"143","XRCC1","LowEvidence"
"144","ZFYVE26","LowEvidence"
"145","ZNF592","LowEvidence"
