"","GeneSymbol","LevelOfConfidence"
"1","ACTA1","HighEvidence"
"2","ADAMTS10","HighEvidence"
"3","ADGRG6","HighEvidence"
"4","ANTXR2","HighEvidence"
"5","ASXL1","HighEvidence"
"6","B3GALNT2","HighEvidence"
"7","B4GAT1","HighEvidence"
"8","CHAT","HighEvidence"
"9","CHRNA1","HighEvidence"
"10","CHRNB1","HighEvidence"
"11","CHRND","HighEvidence"
"12","CHRNE","HighEvidence"
"13","CHRNG","HighEvidence"
"14","CHST14","HighEvidence"
"15","CNTNAP1","HighEvidence"
"16","COL12A1","HighEvidence"
"17","COL6A1","HighEvidence"
"18","COL6A2","HighEvidence"
"19","COL6A3","HighEvidence"
"20","COLQ","HighEvidence"
"21","CRLF1","HighEvidence"
"22","DAG1","HighEvidence"
"23","DNM2","HighEvidence"
"24","DOK7","HighEvidence"
"25","ECEL1","HighEvidence"
"26","ERCC6","HighEvidence"
"27","ERCC8","HighEvidence"
"28","EXOSC3","HighEvidence"
"29","FAM20C","HighEvidence"
"30","FBN2","HighEvidence"
"31","FGFR2","HighEvidence"
"32","FGFR3","HighEvidence"
"33","FKBP10","HighEvidence"
"34","FKRP","HighEvidence"
"35","FKTN","HighEvidence"
"36","FLNB","HighEvidence"
"37","GBA","HighEvidence"
"38","GBE1","HighEvidence"
"39","GLDN","HighEvidence"
"40","GLE1","HighEvidence"
"41","GMPPB","HighEvidence"
"42","HSPG2","HighEvidence"
"43","IRF6","HighEvidence"
"44","ISPD","HighEvidence"
"45","KAT6B","HighEvidence"
"46","KLHL40","HighEvidence"
"47","KLHL41","HighEvidence"
"48","KLHL7","HighEvidence"
"49","LAMA2","HighEvidence"
"50","LARGE","HighEvidence"
"51","LMOD3","HighEvidence"
"52","MTM1","HighEvidence"
"53","MUSK","HighEvidence"
"54","MYBPC1","HighEvidence"
"55","MYH2","HighEvidence"
"56","MYH3","HighEvidence"
"57","MYH7","HighEvidence"
"58","MYH8","HighEvidence"
"59","NALCN","HighEvidence"
"60","NEB","HighEvidence"
"61","PEX1","HighEvidence"
"62","PEX10","HighEvidence"
"63","PEX11B","HighEvidence"
"64","PEX12","HighEvidence"
"65","PEX13","HighEvidence"
"66","PEX14","HighEvidence"
"67","PEX16","HighEvidence"
"68","PEX19","HighEvidence"
"69","PEX2","HighEvidence"
"70","PEX26","HighEvidence"
"71","PEX3","HighEvidence"
"72","PEX5","HighEvidence"
"73","PEX6","HighEvidence"
"74","PEX7","HighEvidence"
"75","PFKM","HighEvidence"
"76","PIEZO2","HighEvidence"
