,GeneSymbol,LevelOfConfidence
216,EIF2B5,HighEvidence
217,EPM2A,HighEvidence
218,FGF14,HighEvidence
219,FLVCR1,HighEvidence
220,FMR1,HighEvidence
221,FOLR1,HighEvidence
222,FXN,HighEvidence
223,GBA2,HighEvidence
224,GFAP,HighEvidence
225,GJC2,HighEvidence
226,GOSR2,HighEvidence
227,GRID2,HighEvidence
228,GRM1,HighEvidence
229,HEXA,HighEvidence
230,HEXB,HighEvidence
231,ITPR1,HighEvidence
232,KCNA1,HighEvidence
233,KCNC3,HighEvidence
234,KCND3,HighEvidence
235,KIF1C,HighEvidence
236,MARS2,HighEvidence
237,MMACHC,HighEvidence
238,MRE11A,HighEvidence
239,MT-ATP6,HighEvidence
240,NHLRC1,HighEvidence
241,NPC1,HighEvidence
242,NPC2,HighEvidence
243,OPHN1,HighEvidence
244,PAX6,HighEvidence
245,PDYN,HighEvidence
246,PEX16,HighEvidence
247,PMPCA,HighEvidence
248,PNPLA6,HighEvidence
249,POLR3A,HighEvidence
250,PRKCG,HighEvidence
251,PRNP,HighEvidence
252,RARS2,HighEvidence
253,RNF170,HighEvidence
254,RNF216,HighEvidence
255,SACS,HighEvidence
256,SAR1B,HighEvidence
257,SEPSECS,HighEvidence
258,SETX,HighEvidence
259,SIL1,HighEvidence
260,SLC1A3,HighEvidence
261,SNX14,HighEvidence
262,SPG7,HighEvidence
263,SPTBN2,HighEvidence
264,SRD5A3,HighEvidence
265,STUB1,HighEvidence
266,SYNE1,HighEvidence
267,TGM6,HighEvidence
268,TMEM240,HighEvidence
269,TPP1,HighEvidence
270,TSEN2,HighEvidence
271,TSEN54,HighEvidence
272,TTBK2,HighEvidence
273,TTC19,HighEvidence
274,TTPA,HighEvidence
275,VAMP1,HighEvidence
276,VLDLR,HighEvidence
277,WDR81,HighEvidence
278,WFS1,HighEvidence
279,AIMP1,HighEvidence
280,ALDH18A1,HighEvidence
281,ALS2,HighEvidence
282,AP4B1,HighEvidence
283,AP4E1,HighEvidence
284,AP4M1,HighEvidence
285,AP4S1,HighEvidence
286,ATL1,HighEvidence
287,B4GALNT1,HighEvidence
288,BSCL2,HighEvidence
289,C12orf65,HighEvidence
290,CYP7B1,HighEvidence
291,DDHD1,HighEvidence
292,HSPD1,HighEvidence
293,KIAA0196,HighEvidence
294,KIF1A,HighEvidence
295,KIF5A,HighEvidence
296,L1CAM,HighEvidence
297,NIPA1,HighEvidence
298,PLP1,HighEvidence
299,REEP1,HighEvidence
300,RTN2,HighEvidence
301,SPAST,HighEvidence
302,SPG20,HighEvidence
303,SPG21,HighEvidence
304,ZFYVE26,HighEvidence
305,AARS,HighEvidence
306,AIFM1,HighEvidence
307,ARHGEF10,HighEvidence
308,ATL3,HighEvidence
309,ATP7A,HighEvidence
310,COX6A1,HighEvidence
311,EGR2,HighEvidence
312,FAM134B,HighEvidence
313,FBLN5,HighEvidence
314,FGD4,HighEvidence
315,FIG4,HighEvidence
316,GAN,HighEvidence
317,GARS,HighEvidence
318,GDAP1,HighEvidence
319,GJB1,HighEvidence
320,GLA,HighEvidence
321,HARS,HighEvidence
322,HINT1,HighEvidence
323,HK1,HighEvidence
324,HSPB1,HighEvidence
325,HSPB8,HighEvidence
326,IKBKAP,HighEvidence
327,INF2,HighEvidence
328,LITAF,HighEvidence
329,LRSAM1,HighEvidence
330,MFN2,HighEvidence
331,MPV17,HighEvidence
332,MPZ,HighEvidence
333,MTMR2,HighEvidence
334,NDRG1,HighEvidence
335,NEFL,HighEvidence
336,NGF,HighEvidence
337,NTRK1,HighEvidence
338,PDHA1,HighEvidence
339,PEX7,HighEvidence
340,PHYH,HighEvidence
341,PLEKHG5,HighEvidence
342,PMP22,HighEvidence
343,PRDM12,HighEvidence
344,PRPS1,HighEvidence
345,PRX,HighEvidence
346,RAB7A,HighEvidence
347,SBF2,HighEvidence
348,SCN11A,HighEvidence
