"","GeneSymbol","LevelOfConfidence"
"1","COLQ","HighEvidence"
"2","PLEC","HighEvidence"
"3","SLC18A3","HighEvidence"
"4","SLC5A7","HighEvidence"
"5","AGRN","HighEvidence"
"6","CHRND","HighEvidence"
"7","DOK7","HighEvidence"
"8","SCN4A","HighEvidence"
"9","LRP4","HighEvidence"
"10","DPAGT1","HighEvidence"
"11","RAPSN","HighEvidence"
"12","CHAT","HighEvidence"
"13","GFPT1","HighEvidence"
"14","COL13A1","HighEvidence"
"15","CHRNE","HighEvidence"
"16","MUSK","HighEvidence"
"17","CHRNA1","HighEvidence"
"18","CHRNB1","HighEvidence"
"19","CHRNG","HighEvidence"
"20","GMPPB","HighEvidence"
"21","ALG2","ModerateEvidence"
"22","VAMP1","ModerateEvidence"
"23","MYO9A","ModerateEvidence"
"24","SYT2","LowEvidence"
"25","SNAP25","LowEvidence"
"26","LAMB2","LowEvidence"
"27","PREPL","LowEvidence"
"28","ALG14","LowEvidence"
"29","GRN","NoList"
