"","GeneSymbol","LevelOfConfidence"
"1","SELENON","HighEvidence"
"2","MYMK","HighEvidence"
"3","BIN1","HighEvidence"
"4","TNNT1","HighEvidence"
"5","SPEG","HighEvidence"
"6","HTRA2","HighEvidence"
"7","ACTA1","HighEvidence"
"8","COL6A3","HighEvidence"
"9","MTM1","HighEvidence"
"10","EPG5","HighEvidence"
"11","LMNA","HighEvidence"
"12","MYO18B","HighEvidence"
"13","TPM3","HighEvidence"
"14","CACNA1S","HighEvidence"
"15","STIM1","HighEvidence"
"16","SLC25A4","HighEvidence"
"17","KLHL40","HighEvidence"
"18","NEB","HighEvidence"
"19","LGI4","HighEvidence"
"20","DNM2","HighEvidence"
"21","SCN4A","HighEvidence"
"22","TPM2","HighEvidence"
"23","LMOD3","HighEvidence"
"24","RYR1","HighEvidence"
"25","COL6A1","HighEvidence"
"26","MAP3K20","HighEvidence"
"27","TTN","HighEvidence"
"28","MYH2","HighEvidence"
"29","CFL2","HighEvidence"
"30","COL6A2","HighEvidence"
"31","COL12A1","HighEvidence"
"32","MYH3","HighEvidence"
"33","ORAI1","HighEvidence"
"34","KBTBD13","HighEvidence"
"35","STAC3","HighEvidence"
"36","MYH8","HighEvidence"
"37","MICU1","HighEvidence"
"38","FKBP14","HighEvidence"
"39","VMA21","HighEvidence"
"40","KLHL41","HighEvidence"
"41","MEGF10","HighEvidence"
"42","MYH7","HighEvidence"
"43","CASQ1","ModerateEvidence"
"44","LAMP2","ModerateEvidence"
"45","VPS33B","ModerateEvidence"
"46","MTMR14","ModerateEvidence"
"47","NEFL","ModerateEvidence"
"48","MYPN","ModerateEvidence"
"49","MYL1","ModerateEvidence"
"50","CCDC78","ModerateEvidence"
"51","HACD1","ModerateEvidence"
"52","MYBPC3","ModerateEvidence"
"53","KY","ModerateEvidence"
"54","CNTN1","ModerateEvidence"
"55","PUS1","LowEvidence"
"56","COL9A3","LowEvidence"
"57","CHCHD10","LowEvidence"
"58","MYOT","LowEvidence"
"59","TNNI2","LowEvidence"
"60","TIA1","LowEvidence"
"61","DMPK","LowEvidence"
"62","SPTBN4","LowEvidence"
"63","CAV3","LowEvidence"
"64","GFER","LowEvidence"
"65","MYBPC1","LowEvidence"
"66","DYSF","LowEvidence"
"67","DNAJB6","LowEvidence"
"68","VCP","LowEvidence"
"69","MYH14","LowEvidence"
"70","ATP2A1","LowEvidence"
"71","SLC25A42","LowEvidence"
"72","MATR3","LowEvidence"
"73","MT-TL1","LowEvidence"
"74","ISCU","LowEvidence"
"75","CRYAB","LowEvidence"
"76","BAG3","LowEvidence"
"77","YARS2","LowEvidence"
"78","MYF6","LowEvidence"
"79","CPT2","LowEvidence"
"80","HNRNPA1","LowEvidence"
"81","LDB3","LowEvidence"
"82","FLNC","LowEvidence"
"83","RBCK1","LowEvidence"
"84","ECEL1","LowEvidence"
"85","PNPLA2","LowEvidence"
"86","TNNT3","LowEvidence"
"87","GNE","LowEvidence"
"88","DES","LowEvidence"
"89","STIM2","LowEvidence"
"90","PIEZO2","LowEvidence"
"91","HRAS","LowEvidence"
"92","FAM111B","LowEvidence"
