"","GeneSymbol","LevelOfConfidence"
"1","D2HGDH","HighEvidence"
"2","GLIS3","HighEvidence"
"3","PEX11B","HighEvidence"
"4","TRIP12","HighEvidence"
"5","GRID2","HighEvidence"
"6","SERAC1","HighEvidence"
"7","THOC6","HighEvidence"
"8","ST3GAL5","HighEvidence"
"9","SLC33A1","HighEvidence"
"10","AP3B1","HighEvidence"
"11","KIAA0586","HighEvidence"
"12","AP3B2","HighEvidence"
"13","GMPPB","HighEvidence"
"14","ARL13B","HighEvidence"
"15","MBTPS2","HighEvidence"
"16","THOC2","HighEvidence"
"17","CACNA1C","HighEvidence"
"18","DIS3L2","HighEvidence"
"19","CHMP1A","HighEvidence"
"20","SPART","HighEvidence"
"21","NTRK1","HighEvidence"
"22","GABRG2","HighEvidence"
"23","AAAS","HighEvidence"
"24","EBF3","HighEvidence"
"25","AMER1","HighEvidence"
"26","PRUNE1","HighEvidence"
"27","KIAA1109","HighEvidence"
"28","TMEM240","HighEvidence"
"29","NEXMIF","HighEvidence"
"30","HACE1","HighEvidence"
"31","RLIM","HighEvidence"
"32","GFER","HighEvidence"
"33","SZT2","HighEvidence"
"34","DHX30","HighEvidence"
"35","PDHX","HighEvidence"
"36","HNRNPH2","HighEvidence"
"37","PUS1","HighEvidence"
"38","SMC3","HighEvidence"
"39","COG5","HighEvidence"
"40","CLCN4","HighEvidence"
"41","KIDINS220","HighEvidence"
"42","SPTBN2","HighEvidence"
"43","CIC","HighEvidence"
"44","TBCK","HighEvidence"
"45","HIVEP2","HighEvidence"
"46","PYCR1","HighEvidence"
"47","KNL1","HighEvidence"
"48","SON","HighEvidence"
"49","ACADS","HighEvidence"
"50","CDK13","HighEvidence"
"51","LARGE1","HighEvidence"
"52","TRIT1","HighEvidence"
"53","PIK3CA","HighEvidence"
"54","CAMK2A","HighEvidence"
"55","RERE","HighEvidence"
"56","ASL","HighEvidence"
"57","PNPLA6","HighEvidence"
"58","CLTC","HighEvidence"
"59","IARS","HighEvidence"
"60","LINS1","HighEvidence"
"61","OPA3","HighEvidence"
"62","STAG1","HighEvidence"
"63","BMP4","HighEvidence"
"64","CAMK2B","HighEvidence"
"65","LONP1","HighEvidence"
