"","GeneSymbol","LevelOfConfidence"
"1","DNMT1","HighEvidence"
"2","CSNK1D","ModerateEvidence"
"3","MOG","ModerateEvidence"
"4","SLC6A4","LowEvidence"
"5","PER2","LowEvidence"
"6","HLA-DQB1","LowEvidence"
"7","TRPV4","LowEvidence"
"8","AKR1C2","LowEvidence"
"9","NTRK2","LowEvidence"
"10","EIF3G","LowEvidence"
"11","HCRT","LowEvidence"
"12","EXT1","LowEvidence"
