"","GeneSymbol","LevelOfConfidence"
"1","ATP2A1","HighEvidence"
"2","CACNA1S","HighEvidence"
"3","CLCN1","HighEvidence"
"4","KCNA1","HighEvidence"
"5","PYGM","HighEvidence"
"6","SCN4A","HighEvidence"
"7","RYR1","HighEvidence"
"8","ADCY5","HighEvidence"
"9","KCNJ2","HighEvidence"
"10","MT-ATP8","HighEvidence"
"11","SLC1A3","HighEvidence"
"12","MT-ATP6","HighEvidence"
"13","CACNB4","ModerateEvidence"
"14","CACNA1A","ModerateEvidence"
"15","KCNQ2","ModerateEvidence"
"16","KCNJ5","ModerateEvidence"
"17","CNBP","LowEvidence"
"18","DMPK","LowEvidence"
"19","KCNJ18","LowEvidence"
"20","HSPG2","LowEvidence"
