"","GeneSymbol","LevelOfConfidence"
"1","ATP7B","HighEvidence"
"2","SCN1A","HighEvidence"
"3","CACNB4","HighEvidence"
"4","ATP1A2","HighEvidence"
"5","CACNA1A","HighEvidence"
"6","SCN8A","HighEvidence"
"7","ADCY5","HighEvidence"
"8","GLRA1","HighEvidence"
"9","KCNA1","HighEvidence"
"10","SLC2A1","HighEvidence"
"11","PRRT2","HighEvidence"
"12","PNKD","HighEvidence"
"13","SLC6A5","HighEvidence"
"14","SLC1A3","HighEvidence"
"15","GLRB","HighEvidence"
"16","KCNQ3","HighEvidence"
"17","KCNQ2","HighEvidence"
"18","ATP1A3","HighEvidence"
"19","KCNK18","ModerateEvidence"
"20","SCN9A","LowEvidence"
"21","ATN1","LowEvidence"
"22","NKX2-1","LowEvidence"
"23","HTT","LowEvidence"
